systemd-sysvcompat 249.5-2
texinfo 6.8-2
thunar 4.16.10-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
tldr 2.0.0-1
tlp 1.4.0-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tumbler 4.16.0-3
unrar 1:6.0.7-1
unzip 6.0-14
upower 0.99.13-1
usb_modeswitch 2.6.1-1
usbutils 014-1
variety 0.8.5-2
vi 1:070224-5
virtualbox 6.1.28-3
visual-studio-code-bin 1.61.2-1
vpnc 1:0.5.3.r496.r153-2
welcome 3.16.9-1
wget 1.21.2-1
which 2.21-5
whois 5.5.10-1
wireless-regdb 2021.08.28-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-8
wvdial 1.61-8
xbindkeys 1.8.7-2
xclip 0.13-3
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xed 3.0.2-1
xf86-input-libinput 1.2.0-1
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-vesa 2.5.0-1
xfce4-terminal 0.8.10-2
xfsprogs 5.13.0-1
xidlehook 0.10.0-1
xl2tpd 1.3.16-1
xorg-server 1.20.13-2
xorg-xbacklight 1.2.3-2
xorg-xdpyinfo 1.3.2-4
xorg-xev 1.2.4-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkill 1.0.5-2
xorg-xrandr 1.5.1-2
xsel 1.2.0.20190821-1
xterm 369-1
yad-eos 10.1-1
yay 11.0.2-1
zathura 0.4.8-1
zathura-cb 0.1.9-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.7-1
zathura-ps 0.2.7-1
zsh 5.8-1
